0	0	0	0	100	0	100
0	0	0	0	100	0	100
0	0	0	0	100	0	0
0	0	0	0	0	100	0
0	50	0	100	0	100	0
0	0	0	0	0	0	0
0	25	50	50	100	50	0
0	0	0	0	100	0	100
0	0	0	0	100	0	100
0	0	0	0	100	0	0
0	0	0	0	0	100	0
0	50	0	100	0	100	0
0	0	0	0	0	0	0
0	25	50	50	100	50	0
0	0	0	0	100	0	100
0	0	0	0	100	0	100
0	0	0	0	100	0	0
0	0	0	0	0	100	0
0	50	0	100	0	100	0
0	0	0	0	0	0	0
0	25	50	50	100	50	0
0	0	0	-100	100	-100	100
0	0	0	-100	100	-100	100
0	0	0	-100	100	-100	0
0	0	0	-100	0	-100	0
0	50	0	-100	0	-100	0
0	0	0	-100	0	-100	0
0	25	50	-100	100	-100	0
0	0	0	0	100	0	100
0	0	0	0	100	0	100
0	0	0	0	100	0	0
0	0	0	0	0	100	0
0	50	0	100	0	100	0
0	0	0	0	0	0	0
0	25	50	50	100	50	0
0	0	0	-100	100	-100	100
0	0	0	-100	100	-100	100
0	0	0	-100	100	-100	0
0	0	0	-100	0	-100	0
0	50	0	-100	0	-100	0
0	0	0	-100	0	-100	0
0	25	50	-100	100	-100	0
0	0	0	0	100	0	100
0	0	0	0	100	0	100
0	0	0	0	100	0	0
0	0	0	0	0	100	0
0	50	0	100	0	100	0
0	0	0	0	0	0	0
0	25	50	50	100	50	0

